farm_id,region,crop_type,soil_moisture_%,soil_pH,temperature_C,rainfall_mm,humidity_%,sunlight_hours,irrigation_type,fertilizer_type,pesticide_usage_ml,sowing_date,harvest_date,total_days,yield_kg_per_hectare,sensor_id,timestamp,latitude,longitude,NDVI_index,crop_disease_status
FARM0035,Central USA,Wheat,34.64,6.39,34.78,230.79,82.85,6.77,Manual,Mixed,16.57,2024-04-03,2024-08-23,142,4009.36,IOT8964,2024-06-03 08:00:00,14.7641,76.1274,0.5046,None
FARM0036,East Africa,Soybean,47.74,7.31,23.87,74.29,50.34,5.63,Drip,Organic,74.43,2024-04-12,2024-07-28,107,2944.95,IOT4486,2024-06-02 20:00:00,28.5474,80.5415,0.6563,None
FARM0037,South India,Wheat,10.6,7.26,16.28,233.35,89.73,7.01,Drip,Mixed,70.3,2024-01-11,2024-06-02,143,4167.96,IOT8457,2024-06-07 04:00:00,23.4243,81.2735,0.4414,None
FARM0038,North India,Cotton,44.4,5.71,28.26,227.52,54.73,9.83,Sprinkler,Organic,53.92,2024-01-22,2024-05-01,100,3778.79,IOT3575,2024-06-03 10:00:00,24.0907,87.7336,0.7484,None
FARM0039,South India,Wheat,43.73,7.43,15.85,53.54,62.23,6.05,Drip,Organic,28.0,2024-05-05,2024-09-02,120,4510.41,IOT9108,2024-06-02 16:00:00,30.0258,74.6507,0.6669,Mild
FARM0040,East Africa,Maize,35.0,6.61,34.51,238.87,67.24,5.04,None,Inorganic,44.22,2024-04-13,2024-09-08,148,6546.09,IOT9194,2024-06-07 04:00:00,31.2955,86.5531,0.511,None
FARM0041,South USA,Rice,43.41,7.3,25.27,78.6,42.63,5.98,Sprinkler,Inorganic,35.39,2024-03-18,2024-07-24,128,4744.83,IOT8333,2024-06-07 13:00:00,18.6756,77.8219,0.4863,None
FARM0042,South USA,Soybean,10.57,7.2,33.44,187.63,53.4,9.94,Manual,Organic,90.84,2024-01-18,2024-06-10,144,3101.97,IOT5674,2024-06-04 00:00:00,20.807,81.484,0.5207,None
FARM0043,East Africa,Maize,13.33,5.89,32.21,294.26,53.4,8.05,Drip,Inorganic,37.88,2024-03-06,2024-06-29,115,2324.53,IOT4199,2024-06-01 14:00:00,26.1755,74.9949,0.4379,None
FARM0044,North India,Rice,29.72,7.0,24.48,196.89,69.21,9.88,Drip,Organic,81.23,2024-05-25,2024-09-24,122,5673.5,IOT9274,2024-06-04 13:00:00,19.6825,80.74,0.8141,Moderate
FARM0045,South India,Wheat,42.09,6.07,24.75,149.97,54.81,7.66,Drip,Mixed,4.57,2024-05-17,2024-09-22,128,2947.73,IOT9327,2024-06-02 09:00:00,24.7941,88.2378,0.4898,None
FARM0046,Central USA,Wheat,40.34,6.94,17.02,179.04,67.89,8.47,None,Mixed,98.2,2024-01-11,2024-06-07,148,5059.29,IOT5057,2024-06-07 22:00:00,18.7535,73.907,0.4103,None
FARM0047,Central USA,Soybean,25.35,5.62,32.93,105.82,53.41,5.17,Manual,Mixed,24.24,2024-04-21,2024-07-29,99,5997.56,IOT3902,2024-06-04 13:00:00,27.5218,79.1667,0.8223,None
FARM0048,East Africa,Cotton,40.13,6.54,24.97,163.43,41.08,7.21,Sprinkler,Inorganic,17.98,2024-03-27,2024-07-11,106,2708.2,IOT3185,2024-06-02 09:00:00,19.5527,71.0225,0.556,None
FARM0049,East Africa,Soybean,23.56,7.14,24.18,53.71,48.16,8.44,Sprinkler,Mixed,72.72,2024-02-23,2024-06-03,101,3848.17,IOT2048,2024-06-01 19:00:00,21.2055,76.8055,0.416,Mild
FARM0050,North India,Rice,24.56,6.0,22.01,135.77,71.87,4.08,None,Organic,23.75,2024-04-19,2024-07-26,98,5709.62,IOT9779,2024-06-06 18:00:00,18.6476,79.0669,0.5428,None
FARM0051,South USA,Soybean,19.64,6.52,26.89,54.24,66.02,5.44,Drip,Organic,66.77,2024-02-06,2024-06-26,141,3293.82,IOT1622,2024-06-01 03:00:00,34.6271,89.8477,0.5214,None
FARM0052,South India,Wheat,22.57,7.15,33.39,226.1,77.07,6.48,Sprinkler,Mixed,64.0,2024-04-20,2024-08-17,119,3698.87,IOT4435,2024-06-06 08:00:00,10.9011,76.3727,0.5934,None
FARM0053,South India,Cotton,36.0,6.19,18.66,251.33,43.43,9.58,Drip,Inorganic,56.85,2024-02-21,2024-06-28,128,3917.76,IOT1817,2024-06-04 11:00:00,22.2255,79.7672,0.686,Mild
FARM0054,North India,Cotton,43.13,6.29,30.68,163.42,59.92,9.89,Manual,Inorganic,44.95,2024-02-14,2024-06-13,120,2471.76,IOT7395,2024-06-01 19:00:00,24.8842,73.0355,0.4857,None
FARM0055,Central USA,Maize,38.09,6.87,24.85,186.55,83.27,8.49,Drip,Mixed,17.98,2024-05-12,2024-09-06,117,3598.82,IOT5820,2024-06-06 01:00:00,32.9023,82.5435,0.7239,None
FARM0056,South India,Maize,49.67,6.62,30.76,58.12,44.2,4.66,Sprinkler,Mixed,73.81,2024-02-07,2024-05-19,102,1000.0,IOT2876,2024-06-06 10:00:00,30.5378,70.9631,0.5473,Moderate
FARM0057,South USA,Soybean,33.38,5.63,19.43,287.11,64.93,7.44,Sprinkler,Mixed,62.61,2024-04-08,2024-08-17,131,2535.33,IOT8264,2024-06-04 00:00:00,31.0007,78.042,0.6802,None
FARM0058,South India,Cotton,27.4,7.27,29.57,200.62,75.31,5.72,Drip,Mixed,13.56,2024-04-10,2024-08-19,131,4243.28,IOT9195,2024-06-07 20:00:00,22.6117,83.9658,0.3461,Mild
FARM0059,South India,Wheat,22.6,6.84,17.81,211.86,53.65,8.54,Sprinkler,Organic,67.36,2024-02-09,2024-06-22,134,3213.8,IOT9740,2024-06-02 20:00:00,15.5219,83.8211,0.8513,None
FARM0060,North India,Rice,42.43,6.28,24.68,255.66,47.57,8.45,Drip,Mixed,68.65,2024-03-02,2024-06-10,100,3899.52,IOT3071,2024-06-03 17:00:00,14.746,75.0654,0.7738,None
FARM0061,North India,Soybean,24.52,6.49,15.39,51.93,74.32,4.6,Manual,Inorganic,20.75,2024-01-21,2024-06-10,141,2808.75,IOT4121,2024-06-03 08:00:00,17.1268,73.2841,0.3109,None
FARM0062,South USA,Soybean,36.48,6.07,34.76,173.25,57.0,9.39,Manual,Inorganic,19.33,2024-05-19,2024-09-11,115,5411.64,IOT7122,2024-06-06 16:00:00,22.6376,89.3086,0.6949,None
FARM0063,Central USA,Wheat,38.75,6.08,31.92,294.32,40.39,9.73,Manual,Mixed,85.83,2024-01-24,2024-06-15,143,3735.36,IOT3127,2024-06-01 21:00:00,13.9704,84.4848,0.6443,Moderate
FARM0064,Central USA,Soybean,44.55,7.19,30.08,133.19,75.5,9.84,Drip,Inorganic,60.25,2024-01-18,2024-05-26,129,6189.18,IOT2744,2024-06-05 18:00:00,31.1015,85.0038,0.4973,None
FARM0065,Central USA,Wheat,10.15,7.3,29.19,182.2,42.7,6.53,None,Mixed,23.85,2024-04-03,2024-07-16,104,2962.95,IOT2005,2024-06-03 21:00:00,29.0964,81.9608,0.5479,None
FARM0066,South USA,Wheat,19.71,5.91,15.44,250.0,51.08,7.28,None,Inorganic,97.87,2024-05-24,2024-09-13,112,3780.74,IOT5669,2024-06-02 16:00:00,30.2189,87.0317,0.8995,None
FARM0067,East Africa,Soybean,31.71,5.8,24.62,119.25,81.85,6.08,Drip,Organic,13.56,2024-03-14,2024-08-01,140,2666.43,IOT1951,2024-06-07 10:00:00,14.5013,82.7075,0.7453,None
FARM0068,South USA,Wheat,37.99,7.09,34.07,127.16,67.43,4.88,Sprinkler,Mixed,64.39,2024-05-18,2024-09-24,129,3881.81,IOT5970,2024-06-07 02:00:00,17.1006,88.7859,0.5715,None
FARM0069,North India,Wheat,46.62,6.1,17.25,74.71,45.75,6.38,Manual,Mixed,17.9,2024-01-01,2024-04-08,98,4467.94,IOT3329,2024-06-05 13:00:00,17.4833,83.4135,0.4371,None
FARM0070,South India,Soybean,16.67,7.16,33.25,147.92,55.44,7.45,Drip,Mixed,95.7,2024-03-01,2024-07-21,142,6159.44,IOT7661,2024-06-04 19:00:00,15.7825,74.8418,0.4278,None
FARM0071,East Africa,Maize,49.67,5.52,27.56,161.32,40.37,7.64,None,Mixed,8.86,2024-05-10,2024-09-18,131,3234.73,IOT1356,2024-06-05 09:00:00,13.2304,87.339,0.7037,Moderate
FARM0072,Central USA,Maize,31.74,5.72,28.54,191.61,57.4,6.48,Sprinkler,Mixed,39.99,2024-01-04,2024-04-29,116,5859.68,IOT9445,2024-06-07 22:00:00,28.9992,73.99,0.4751,Mild
FARM0073,South USA,Wheat,29.83,5.86,34.29,241.53,43.43,6.53,None,Organic,91.44,2024-03-04,2024-06-09,97,2806.08,IOT6568,2024-06-04 19:00:00,24.8866,84.1586,0.5075,None
FARM0074,Central USA,Wheat,30.0,7.07,26.17,83.37,81.48,8.43,Manual,Inorganic,96.54,2024-05-26,2024-09-12,109,2991.94,IOT2605,2024-06-04 22:00:00,18.5203,85.493,0.6147,None
FARM0075,South India,Cotton,11.25,6.16,20.16,100.48,67.38,5.05,Manual,Inorganic,40.82,2024-05-20,2024-09-25,128,2499.45,IOT9199,2024-06-03 11:00:00,25.5165,84.4135,0.5774,Severe
FARM0076,South USA,Cotton,11.58,6.23,24.52,79.89,60.58,4.04,Drip,Mixed,24.47,2024-04-25,2024-08-19,116,1153.14,IOT8249,2024-06-04 20:00:00,13.362,77.3233,0.8998,None
FARM0077,South USA,Soybean,38.14,6.08,26.52,215.97,68.7,4.18,None,Organic,28.04,2024-04-05,2024-08-17,134,3717.55,IOT3469,2024-06-03 04:00:00,20.085,72.9148,0.8063,None
FARM0078,South India,Rice,13.81,7.32,28.36,177.49,61.56,4.31,Sprinkler,Mixed,99.22,2024-01-14,2024-04-29,106,2801.41,IOT5851,2024-06-02 04:00:00,31.7233,87.225,0.8071,Mild
FARM0079,North India,Rice,20.77,7.41,15.91,204.6,82.31,5.63,Drip,Organic,48.84,2024-05-25,2024-10-15,143,5998.27,IOT7882,2024-06-03 00:00:00,13.6754,81.4509,0.6453,None
FARM0080,South India,Soybean,27.63,5.74,26.59,274.52,88.4,6.81,None,Organic,12.97,2024-03-25,2024-08-09,137,6462.31,IOT5557,2024-06-07 03:00:00,24.7182,73.6795,0.4805,Mild
FARM0081,Central USA,Maize,15.45,6.48,25.27,128.0,69.82,5.84,Manual,Mixed,68.82,2024-01-14,2024-06-04,142,3119.13,IOT5518,2024-06-05 20:00:00,14.8706,87.3616,0.4731,None
FARM0082,North India,Soybean,26.86,7.26,24.21,277.71,40.82,7.29,Sprinkler,Organic,69.34,2024-01-24,2024-05-01,98,3153.99,IOT7286,2024-06-01 22:00:00,12.3029,89.9895,0.7345,None
FARM0083,Central USA,Maize,31.05,7.4,29.25,102.72,73.26,8.46,Manual,Mixed,31.11,2024-03-05,2024-07-22,139,6223.26,IOT8103,2024-06-03 09:00:00,20.601,78.1264,0.5001,None
FARM0084,Central USA,Cotton,13.93,7.09,30.3,182.37,71.91,9.16,Drip,Inorganic,74.19,2024-03-13,2024-06-28,107,3294.05,IOT1026,2024-06-07 15:00:00,17.7029,88.1262,0.3985,None
FARM0085,South USA,Cotton,21.28,5.95,29.77,153.3,61.88,9.07,Manual,Inorganic,44.38,2024-02-01,2024-06-13,133,3750.94,IOT9137,2024-06-06 13:00:00,30.1033,86.7052,0.7324,None
FARM0086,Central USA,Rice,38.17,7.18,33.91,186.27,55.8,6.34,Sprinkler,Mixed,97.13,2024-03-12,2024-07-06,116,5760.19,IOT4970,2024-06-02 21:00:00,32.0847,80.8154,0.6368,Severe
FARM0087,South India,Wheat,49.51,7.41,22.74,198.49,45.3,8.11,Manual,Organic,6.75,2024-01-13,2024-04-22,100,2031.2,IOT5413,2024-06-04 03:00:00,20.118,81.4409,0.5641,None
FARM0088,South USA,Cotton,47.29,5.63,21.25,198.29,86.89,4.54,Drip,Inorganic,32.11,2024-05-20,2024-10-03,136,5422.89,IOT2901,2024-06-07 12:00:00,23.3963,82.5017,0.487,Mild
FARM0089,Central USA,Wheat,36.11,6.85,21.46,296.7,47.93,5.15,Manual,Organic,33.62,2024-03-04,2024-07-01,119,3948.52,IOT1157,2024-06-02 10:00:00,26.6251,70.1315,0.4518,None
FARM0090,South India,Maize,19.12,7.3,31.49,148.52,80.67,9.1,Drip,Mixed,49.44,2024-04-07,2024-07-20,104,4057.57,IOT5590,2024-06-05 11:00:00,19.7514,85.605,0.7945,Moderate
FARM0091,Central USA,Rice,44.67,6.04,26.77,115.54,71.89,9.38,None,Organic,20.66,2024-03-25,2024-07-17,114,4726.48,IOT3210,2024-06-04 08:00:00,16.5658,74.066,0.3449,None
FARM0092,East Africa,Soybean,47.47,6.15,17.55,180.79,84.62,8.67,None,Mixed,45.51,2024-02-15,2024-07-10,146,2365.21,IOT2427,2024-06-05 15:00:00,10.6128,71.8953,0.6906,None
FARM0093,Central USA,Cotton,44.85,7.41,22.67,106.59,76.96,8.27,Sprinkler,Inorganic,77.42,2024-02-11,2024-06-29,139,6326.8,IOT1659,2024-06-06 20:00:00,11.7416,74.5776,0.4767,None
FARM0094,East Africa,Cotton,41.49,6.03,25.13,83.84,69.58,7.67,None,Mixed,99.82,2024-02-07,2024-06-02,116,2525.81,IOT1818,2024-06-01 06:00:00,20.3106,74.1486,0.5501,Moderate
FARM0095,Central USA,Maize,31.44,7.2,20.12,117.98,60.82,4.06,Sprinkler,Mixed,23.53,2024-03-15,2024-06-25,102,2246.75,IOT7560,2024-06-05 09:00:00,29.4066,84.02,0.5638,Moderate
FARM0096,East Africa,Rice,37.52,5.88,15.96,246.2,80.87,4.97,None,Organic,91.36,2024-01-19,2024-05-01,103,6330.68,IOT9328,2024-06-07 09:00:00,31.7239,78.4304,0.6919,None
FARM0097,South India,Cotton,47.11,6.35,27.95,186.07,40.73,9.45,Sprinkler,Organic,83.25,2024-03-05,2024-06-16,103,4313.32,IOT9676,2024-06-05 13:00:00,15.0881,88.9247,0.5847,None
FARM0098,Central USA,Cotton,21.26,6.2,21.88,170.3,70.69,6.49,Sprinkler,Inorganic,35.02,2024-04-15,2024-07-29,105,2187.09,IOT8598,2024-06-07 03:00:00,25.4123,79.2632,0.4577,Mild
FARM0099,North India,Maize,10.93,5.82,22.7,229.59,80.73,6.11,Manual,Mixed,98.46,2024-04-24,2024-08-15,113,6721.02,IOT8495,2024-06-01 23:00:00,31.7013,88.5927,0.649,None
FARM0100,South India,Soybean,28.5,6.11,33.86,71.8,46.54,6.32,Manual,Inorganic,40.74,2024-04-14,2024-08-07,115,3078.74,IOT6772,2024-06-05 10:00:00,21.6139,82.9843,0.3846,None
FARM0101,South India,Cotton,36.59,6.7,27.21,73.17,64.57,5.21,Drip,Inorganic,28.59,2024-05-12,2024-09-30,141,5830.88,IOT3068,2024-06-07 07:00:00,30.2705,82.3632,0.8912,None
FARM0102,Central USA,Cotton,49.63,6.57,28.83,149.8,45.87,9.08,None,Organic,7.38,2024-01-26,2024-06-19,145,5454.77,IOT5515,2024-06-03 22:00:00,10.654,76.0963,0.5832,Moderate
FARM0103,South USA,Cotton,11.36,6.82,31.0,158.52,71.35,7.78,None,Inorganic,94.61,2024-01-18,2024-04-30,103,5158.14,IOT8099,2024-06-05 08:00:00,26.912,85.5651,0.6994,None
FARM0104,Central USA,Soybean,15.15,5.82,21.48,210.92,69.98,8.65,Manual,Organic,11.19,2024-01-02,2024-05-18,137,3896.2,IOT3800,2024-06-07 16:00:00,26.4262,83.8911,0.3123,None
FARM0105,North India,Cotton,12.76,5.83,29.6,126.11,49.13,4.29,Drip,Inorganic,21.46,2024-01-19,2024-04-21,93,2114.85,IOT1904,2024-06-02 16:00:00,11.4378,72.6716,0.4457,None
FARM0106,East Africa,Soybean,42.88,6.95,33.64,105.95,47.81,5.22,Drip,Inorganic,69.69,2024-03-17,2024-07-17,122,4154.42,IOT1956,2024-06-02 11:00:00,17.8491,74.4224,0.4553,Moderate
FARM0107,East Africa,Maize,47.09,7.19,29.36,244.53,65.02,4.87,None,Mixed,2.95,2024-01-02,2024-04-01,90,4159.6,IOT9826,2024-06-03 03:00:00,17.1558,79.2744,0.5594,None
FARM0108,South USA,Maize,40.41,6.49,32.66,133.4,83.09,7.13,Drip,Inorganic,34.23,2024-01-27,2024-05-26,120,6506.01,IOT5786,2024-06-02 07:00:00,31.4496,82.7245,0.3037,None
FARM0109,East Africa,Maize,27.43,5.78,23.36,99.81,83.74,7.4,Manual,Mixed,70.73,2024-04-19,2024-09-15,149,6132.2,IOT9616,2024-06-07 23:00:00,19.6036,73.6661,0.6676,None
FARM0110,South USA,Cotton,37.38,7.45,16.73,89.81,74.14,8.63,Drip,Mixed,27.2,2024-05-19,2024-09-10,114,2992.34,IOT7833,2024-06-03 08:00:00,19.1255,89.5195,0.7956,None
FARM0111,South USA,Soybean,35.51,7.4,15.89,79.16,83.87,6.71,None,Inorganic,99.41,2024-01-24,2024-04-27,94,3804.72,IOT7352,2024-06-04 02:00:00,20.5379,76.0297,0.4961,Severe
FARM0112,South India,Cotton,36.03,6.18,26.96,244.11,49.54,8.83,Sprinkler,Mixed,56.11,2024-02-06,2024-05-27,111,4020.37,IOT3971,2024-06-01 22:00:00,24.3065,80.1946,0.5808,None
FARM0113,South India,Maize,18.56,6.48,30.24,293.68,73.64,4.15,Manual,Inorganic,50.44,2024-02-07,2024-05-19,102,4690.1,IOT7837,2024-06-05 05:00:00,21.3821,81.3424,0.4731,None
FARM0114,Central USA,Soybean,10.89,5.69,20.34,296.48,42.73,6.92,Drip,Inorganic,67.45,2024-04-09,2024-09-02,146,4047.8,IOT9994,2024-06-06 21:00:00,14.0463,84.2068,0.3722,None
FARM0115,South India,Rice,21.82,6.6,24.05,143.72,61.15,5.6,None,Inorganic,90.93,2024-05-21,2024-10-10,142,3324.46,IOT1303,2024-06-06 15:00:00,16.2824,80.6274,0.3658,None
FARM0116,South USA,Maize,18.03,6.43,30.61,156.95,61.84,8.62,Manual,Inorganic,23.85,2024-03-16,2024-07-29,135,4237.2,IOT4467,2024-06-05 08:00:00,16.3953,82.2266,0.752,None
FARM0117,South India,Maize,29.55,5.62,33.8,117.92,55.49,6.76,Manual,Organic,34.19,2024-03-16,2024-07-22,128,3297.39,IOT8689,2024-06-06 18:00:00,11.5713,70.9714,0.4511,None
FARM0118,South India,Soybean,43.19,6.95,31.51,232.09,83.65,6.79,Manual,Mixed,41.79,2024-05-17,2024-09-06,112,4076.58,IOT4911,2024-06-06 17:00:00,22.4078,79.3203,0.3713,None
FARM0119,South India,Rice,41.36,6.57,23.75,168.87,75.65,4.01,Sprinkler,Mixed,26.41,2024-02-06,2024-05-16,100,2268.49,IOT9424,2024-06-06 20:00:00,32.561,77.591,0.6449,Moderate
FARM0120,Central USA,Rice,29.97,7.15,21.94,62.62,57.2,8.69,Sprinkler,Inorganic,12.44,2024-05-07,2024-09-13,129,1123.12,IOT5526,2024-06-01 14:00:00,30.6136,75.6103,0.5367,None
FARM0121,North India,Wheat,30.16,6.64,27.03,209.22,65.84,4.54,Manual,Inorganic,3.08,2024-03-13,2024-07-20,129,3694.31,IOT2053,2024-06-02 20:00:00,23.0666,75.7154,0.769,None
FARM0122,Central USA,Rice,10.93,5.54,29.7,93.07,88.42,6.15,Manual,Mixed,62.61,2024-04-02,2024-07-05,94,6033.72,IOT8120,2024-06-01 20:00:00,33.9981,72.5608,0.3511,None
FARM0123,South India,Wheat,30.24,6.12,15.14,225.01,87.81,4.33,Sprinkler,Inorganic,13.14,2024-01-11,2024-05-16,126,3019.08,IOT2505,2024-06-07 22:00:00,10.8041,86.4776,0.3457,Moderate
FARM0124,South India,Maize,42.53,5.89,15.46,225.39,40.13,5.79,Drip,Inorganic,97.22,2024-01-19,2024-05-04,106,1000.0,IOT9020,2024-06-04 00:00:00,14.6667,85.2975,0.4774,None
FARM0125,South USA,Wheat,43.92,6.87,25.78,203.52,51.22,9.06,Manual,Organic,86.26,2024-04-06,2024-07-20,105,2358.51,IOT7134,2024-06-06 16:00:00,12.5723,81.8574,0.357,Mild
